code,cohort
9670,3
9671,3
9672,3
9673,3
9676,3
9677,3
9678,3
9679,3
9680,3
9681,3
9682,3
9683,3
9684,3
9685,3
9686,3
9687,3
9689,3
9690,3
9691,3
9692,3
9693,3
9694,3
9695,3
9696,3
9697,3
9698,3
9699,3
9700,3
9701,3
9703,3
9704,3
9705,3
9706,3
9707,3
9708,3
9709,3
9710,3
9711,3
9712,3
9713,3
9714,3
9716,3
9717,3
9718,3
9719,3
9720,3
9721,3
9722,3
9723,3
9725,3
9726,3
9727,3
9728,3
9729,3
9730,3
9731,3
9732,3
9733,3
9735,3
9736,3
9737,3
9738,3
9739,3
9741,3
9743,3
9744,3
9745,3
9747,3
9748,3
9749,3
9754,3
9755,3
9756,3
9757,3
9758,3
9759,3
9761,3
9762,3
9764,3
9766,3
9768,3
9769,3
9770,3
9771,3
9772,3
9774,3
9775,3
9776,3
9777,3
9778,3
9779,3
9780,3
9781,3
9782,3
9783,3
9784,3
9785,3
9786,3
9787,3
9788,3
9789,3
9790,3
9791,3
9792,3
9793,3
9794,3
9795,3
9796,3
9797,3
9798,3
9799,3
9800,3
9801,4
9802,4
9803,4
9804,4
9805,4
9806,4
9807,4
9808,4
9809,4
9810,4
9811,4
9812,4
9813,4
9814,4
9815,4
9816,4
9817,4
9819,4
9820,4
9821,4
9822,4
9823,4
9824,4
9825,4
9826,4
9827,4
9828,4
9830,4
9831,4
9832,4
9833,4
9834,4
9835,4
9836,4
9837,4
9838,4
9839,4
9840,4
9841,4
9843,4
9844,4
9845,4
9846,4
9847,4
9848,4
9849,4
9850,4
9851,4
9852,4
9853,4
9854,4
9855,4
9856,4
9857,4
9858,4
9859,4
9860,4
9861,4
9862,4
9864,4
9866,4
9867,4
9868,4
9869,4
9870,4
9871,4
9873,4
9874,4
9875,4
9876,4
9877,4
9878,4
9879,4
9880,4
9881,4
9882,4
9883,4
9885,4
9886,4
9887,4
9888,4
9890,4
9891,4
9892,4
9894,4
9895,4
9897,4
9898,4
9899,4
9900,4
9901,4
9902,4
9903,4
9904,4
9905,4
9906,4
9908,4
9909,4
9910,4
9911,4
9912,4
9914,4
9915,4
9917,4
9918,4
9920,4
9921,4
9924,4
9925,4
9926,4
9927,4
9928,4
9929,4
9930,4
9932,4
9933,4
9935,4
9937,4
9938,4
9939,4
9941,4
9942,4
9943,4
9944,4
9945,4
9946,4
9947,4
9948,4
9949,4
9950,4
9951,4
9952,4
9953,4
9955,4
9956,4
9957,4
9958,4
9959,4
9960,4
9962,4
9963,4
9964,4
9965,4
9966,4
9968,4
9969,4
9970,4
9971,4
9972,4
9973,4
9974,4
9975,4
9976,4
9978,4
9979,4
9980,4
9981,4
9982,4
9983,4
9984,4
9985,4
9986,4
9987,4
9988,4
9990,4
9991,4
9993,4
9995,4
9996,4
9997,4
9998,4
9999,4
10001,4
10002,4
10004,4
10005,4
10006,4
10008,4
10009,4
10010,4
10011,4
10012,4
10013,4
10014,4
10015,4
10017,4
10018,4
10020,4
10022,4
10023,4
10027,4
14312,4
14313,4
14314,4
14315,4
14318,4
14319,4
15560,4
15591,4
15592,4
15593,4
18694,4
18696,4
19949,4
19950,4
19951,4
